B1200	Кнопка климат-контроля отказ цепи
B1852	Климат управление температура Differential КЗ цепи на массу
B1853	Климат управление воздух температура Internal датчик электродвигатель отказ цепи
B1854	Климат управление воздух температура Internal датчик электродвигатель обрыв цепи
B1855	Климат управление воздух температура Internal датчик электродвигатель КЗ цепи на питание
B1856	Климат управление воздух температура Internal датчик электродвигатель КЗ цепи на массу
B1857	Климат управление On/Off выключатель отказ цепи
B1858	Климат управление А/С давление выключатель отказ цепи
B1859	Климат управление А/С давление выключатель обрыв цепи
B1860	Климат управление А/С давление выключатель КЗ цепи на питание
B1861	Климат управление А/С давление выключатель КЗ цепи на массу
B1862	Климат управление А/С Lock датчик отказ
B1863	Масса ECU обрыв цепи
B1864	АКБ питание питание ECU отказ цепи
B1865	АКБ питание питание ECU обрыв цепи
B1866	АКБ питание питание ECU КЗ цепи на питание
B1867	АКБ питание питание ECU КЗ цепи на массу
B1868	Лампа подушка безопасности Warning индикатор отказ цепи
B1869	Лампа подушка безопасности Warning индикатор обрыв цепи
B1870	Лампа подушка безопасности Warning индикатор КЗ цепи на питание
B1871	Пассажира подушка безопасности Disable модуль неисправность
B1872	Turn сигнал/ Hazard питание Feed КЗ цепи на питание
B1873	Turn сигнал/ Hazard питание Feed КЗ цепи на массу
B1874	Cellular Phone Handset Not Present
B1875	Turn сигнал/ Hazard выключатель сигнал отказ цепи
B1876	Seatbelt водителя Pretensioner отказ цепи
B1877	Seatbelt водителя Pretensioner обрыв цепи
B1878	Seatbelt водителя Pretensioner КЗ цепи на питание
B1879	Seatbelt водителя Pretensioner КЗ цепи на массу
B1880	Seatbelt пассажира Pretensioner отказ цепи
B1881	Seatbelt пассажира Pretensioner обрыв цепи
B1882	Seatbelt пассажира Pretensioner КЗ цепи на питание
B1883	Seatbelt пассажира Pretensioner КЗ цепи на массу
B1884	PAD Warning лампа Inoperative
B1885	Seatbelt водителя Pretensioner цепь сопротивление низкий на Squib
B1886	Seatbelt пассажира Pretensioner цепь сопротивление низкий на Squib
B1887	Подушка безопасности водителя цепь сопротивление низкий или Shorted Together
B1888	Подушка безопасности пассажира цепь сопротивление низкий или Shorted Together
B1889	Пассажира Airbag Disable модуль датчик Obstructed
B1890	PAD Warning лампа КЗ цепи на питание
B1891	Подушка безопасности Tone Warning индикатор КЗ цепи на питание
B1892	Подушка безопасности Tone Warning индикатор отказ цепи
B1893	GPS Antenna обрыв цепи
B1894	Стеклоочиститель задний электродвигатель скорость Sense отказ цепи
B1897	Клаксон выключатель отказ цепи
B1898	Chime вход # 2 КЗ цепи на массу
B1899	Microphone вход сигнал обрыв цепи
B1900	Сторона водителя Airbag неисправность
B1901	Подушка безопасности Crash датчик # 1 Feed/Return КЗ цепи на массу
B1902	Подушка безопасности Crash датчик # 1 масса отказ цепи
B1903	Подушка безопасности Crash датчик # 1 масса КЗ цепи на питание
B1904	Подушка безопасности Crash датчик # 2 Feed/Return отказ цепи
B1905	Подушка безопасности Crash датчик # 2 Feed/Return КЗ цепи на питание
B1906	Подушка безопасности Crash датчик # 2 Feed/Return КЗ цепи на массу
B1907	Подушка безопасности Crash датчик # 2 масса отказ цепи
B1908	Подушка безопасности Crash датчик # 2 масса КЗ цепи на питание
B1909	Подушка безопасности Crash датчик # 2 масса КЗ цепи на массу
B1910	Подушка безопасности Diagnostic Monitor масса отказ цепи
B1911	Подушка безопасности Diagnostic Monitor масса КЗ цепи на питание
B1912	Подушка безопасности Diagnostic Monitor масса КЗ цепи на массу
B1913	Подушка безопасности Driver/Passenger КЗ цепи на массу
B1914	Подушка безопасности Crash Sensors # 1/ # 2 КЗ цепи на массу
B1915	Подушка безопасности водителя отказ цепи
B1916	Подушка безопасности водителя КЗ цепи на питание
B1917	Подушка безопасности Memory Clear отказ цепи
B1918	Подушка безопасности Memory Clear обрыв цепи
B1919	Подушка безопасности Memory Clear КЗ цепи на питание
B1920	Подушка безопасности пассажира отказ цепи
B1921	Подушка безопасности Diagnostic Monitor масса обрыв цепи
B1922	Подушка безопасности Safing датчик выход КЗ цепи на питание
B1923	Подушка безопасности Memory Clear КЗ цепи на массу
B1924	Подушка безопасности Internal Diagnostic Monitor неисправность или система Disarm неисправность
B1925	Подушка безопасности пассажира КЗ цепи на питание
B1926	Подушка безопасности пассажира давление выключатель отказ цепи
B1927	Сторона пассажира Airbag неисправность
B1928	Подушка безопасности Safing датчик выход отказ цепи
B1929	Подушка безопасности Safing датчик выход обрыв цепи
B1930	Подушка безопасности Safing датчик выход КЗ цепи на массу
B1931	Подушка безопасности Crash датчик # 1 Feed/Return отказ цепи
B1932	Подушка безопасности водителя обрыв цепи
B1933	Подушка безопасности пассажира обрыв цепи
B1934	Подушка безопасности водителя Inflator цепь сопротивление низкий на Squib
B1935	Подушка безопасности пассажира Inflator цепь сопротивление низкий на Squib
B1936	Подушка безопасности водителя КЗ цепи на массу
B1937	Подушка безопасности пассажира давление выключатель обрыв цепи
B1938	Подушка безопасности пассажира КЗ цепи на массу
B1939	Подушка безопасности пассажира давление выключатель КЗ цепи на массу
B1941	Подушка безопасности Crash датчик # 1 Feed/Return обрыв цепи
B1942	Подушка безопасности Crash датчик # 2 Feed/Return обрыв цепи
B1943	Подушка безопасности Crash датчик # 1 масса КЗ цепи на массу
B1944	Подушка безопасности Crash датчик # 1 масса обрыв цепи
B1945	Подушка безопасности Crash датчик # 2 масса обрыв цепи
B1946	Климат управление А/С Post Evaporator датчик отказ цепи
B1947	Климат управление А/С Post Evaporator датчик КЗ цепи на массу
B1948	Климат управление Water датчик температуры отказ цепи
B1949	Климат управление Water датчик температуры КЗ цепи на массу
B1950	Сиденье задний Up/Down потенциометр обратная связь отказ цепи
B1951	Сиденье задний Up/Down потенциометр обратная связь обрыв цепи
B1952	Сиденье задний Up/Down потенциометр обратная связь КЗ цепи на питание
B1953	Сиденье задний Up/Down потенциометр обратная связь КЗ цепи на массу
B1954	Сиденье передний Up/Down потенциометр обратная связь отказ цепи
B1955	Сиденье передний Up/Down потенциометр обратная связь обрыв цепи
B1956	Сиденье передний Up/Down потенциометр обратная связь КЗ цепи на питание
B1957	Сиденье передний Up/Down потенциометр обратная связь КЗ цепи на массу
B1958	Сиденье Recline Forward/Backward потенциометр обратная связь отказ цепи
B1959	Сиденье Recline Forward/Backward потенциометр обратная связь обрыв цепи
B1960	Сиденье Recline Forward/Backward потенциометр обратная связь КЗ цепи на питание
B1961	Сиденье Recline Forward/Backward потенциометр обратная связь КЗ цепи на массу
B1962	Сиденье Horizontal Forward/Rearward потенциометр обратная связь отказ цепи
B1963	Сиденье Horizontal Forward/Rearward потенциометр обратная связь обрыв цепи
B1964	Сиденье Horizontal Forward/Rearward потенциометр обратная связь КЗ цепи на питание
B1965	Сиденье Horizontal Forward/Rearward потенциометр обратная связь КЗ цепи на массу
B1966	А/С Post подогреватель датчик отказ цепи
B1967	А/С Post подогреватель датчик КЗ цепи на массу
B1968	А/С Water насос Detection отказ цепи
B1969	А/С сцепление Magnetic управление отказ цепи
B1970	Пассажира Seatback Forward выключатель КЗ цепи на массу
B1971	Пассажира Seatback Rearward выключатель КЗ цепи на массу
B1972	Пассажира задний сиденье вверх выключатель КЗ цепи на питание
B1973	Пассажира задний сиденье вниз выключатель КЗ цепи на питание
B1979	Пассажира сиденье Rearward выключатель КЗ цепи на питание
B1980	Bulb - Outage Condition обнаружено
B1981	Memory Off выключатель КЗ цепи на питание
B1984	Сиденье выключатель Lumbar Inflate отказ цепи
B1985	Сиденье выключатель Lumbar Deflate отказ цепи
B1987	Pedal Forward/ Rearward электродвигатель Stalled
B1988	Pedal положение Forward выключатель КЗ цепи на питание
B1989	Pedal положение Rearward выключатель КЗ цепи на питание
B1990	Pedal Forward/ Rearward потенциометр обратная связь отказ цепи
B1991	Pedal Forward/ Rearward потенциометр обратная связь КЗ цепи на питание
B1992	Сторона водителя
B1993	Сторона водителя
B1994	Сторона водителя
B1995	Сторона водителя
B1996	Сторона пассажира
B1997	Сторона пассажира
B1998	Сторона пассажира
B1999	Сторона пассажира
B2100	Дверь водителя Key цилиндр выключатель отказ
B2101	Head Rest выключатель отказ цепи
B2102	Antenna КЗ цепи на массу
B2103	Antenna Not Connected
B2104	Дверь пассажира Key цилиндр выключатель отказ
B2105	Дроссель положение вход вне диапазона низкий
B2106	Дроссель положение вход вне диапазона высокий
B2107	Передний стеклоочиститель электродвигатель реле цепь КЗ на питание АКБ
B2108	Trunk Key цилиндр выключатель отказ
B2109	Heated Wind Shield реле КЗ на питание АКБ (changed от отказ 2/6/97)
B2110	Передний стеклоочиститель электродвигатель реле обрыв цепи (changed от отказ 2/6/97)
B2111	All дверь Lock вход КЗ на массу
B2112	Дверь водителя Set выключатель Stuck отказ
B2113	Heated Windshield вход КЗ на массу
B2114	Передний омыватель вход КЗ на массу
B2115	Задний омыватель вход КЗ на массу
B2116	Дверь водителя Reset выключатель Stuck отказ
B2117	Сторона водителя
B2118	Сторона пассажира
B2119	Compressor отказ
B2120	Дверь пассажира Set выключатель Stuck отказ
B2122	Сторона водителя Satellite связь КЗ цепи на массу
B2123	Сторона пассажира Satellite связь КЗ цепи на массу
B2124	Дверь пассажира Reset выключатель Stuck отказ
B2128	Central Lock электродвигатель отказ
B2129	Central Lock обратная связь отказ
B2130	Double Lock Timeout отказ
B2131	Double Lock обратная связь отказ
B2132	Dimmer выключатель цепь КЗ на Gnd
B2133	Тормоз электродвигатель Warning лампа отказ цепи
B2134	Тормоз электродвигатель Warning лампа цепь КЗ на питание АКБ
B2135	Park тормоз Applied Warning лампа отказ цепи
B2136	Park тормоз Applied Warning лампа КЗ цепи на питание
B2139	Данные Mismatch (receive данные does not match what was expected)
B2141	NVM конфигурация отказ
B2142	NVM TIC отказ
B2143	NVM Memory отказ
B2144	NVM Alarm данные отказ
B2145	NVM RF HR отказ
B2146	Сиденье Recline электродвигатель положение вне диапазона
B2148	PWM вход отказ цепи
B2149	Сиденье передний Vertical электродвигатель положение вне диапазона
B2150	Питание питание # 1 КЗ цепи на массу
B2151	Питание питание # 2 КЗ цепи на массу
B2152	Сиденье задний Vertical электродвигатель положение вне диапазона
B2153	Задний Echo датчик отказ цепи
B2154	Передний Echo датчик отказ цепи
B2155	Сиденье Horizontal электродвигатель положение вне диапазона
B2156	Задний Doppler датчик отказ цепи
B2157	Передний Doppler датчик отказ цепи
B2158	Сиденье Recline электродвигатель Memory положение вне диапазона
B2159	Memory # 1 выход КЗ на массу
B2160	Memory # 1 выход КЗ на питание АКБ
B2161	Сиденье передний Vertical электродвигатель Memory положение вне диапазона
B2162	Данные Mismatch # 2 (receive данные does not match what was expected)
B2163	Сцепление положение неисправность
B2164	Сиденье задний Vertical электродвигатель Memory положение вне диапазона
B2165	Gear shift положение неисправность
B2166	Gear select положение неисправность
B2167	Сиденье Horizontal электродвигатель Memory положение вне диапазона
B2168	Unable на confirm Unlock Condition
B2169	Unable на confirm lock Condition
B2170	Рулевое Column Lock выключатель отказ цепи
B2172	Inertia выключатель вход обрыв цепи
B2174	Стекло водителя задний Remote вверх выключатель КЗ на питание
B2175	А/С Request сигнал КЗ цепи на массу
B2176	Overdrive выключатель цепь КЗ на питание АКБ
B2177	Interior Scanning датчик отказ цепи
B2178	Стекло водителя задний Remote вниз выключатель КЗ на питание
B2179	Передний стеклоочиститель Select выключатель " A " КЗ на массу
B2180	Передний стеклоочиститель Select выключатель " B " КЗ на массу
B2181	Передний стеклоочиститель Select выключатель " C " КЗ на массу
B2182	Стекло пассажира передний Remote вверх выключатель КЗ на питание
B2183	Передний стеклоочиститель Select выключатель " H " КЗ на массу
B2184	Передний стеклоочиститель Select выключатель " W " КЗ на массу
B2185	Задний стеклоочиститель Select выключатель " D " КЗ на массу
B2186	Стекло пассажира передний Remote вниз выключатель КЗ на питание
B2187	Задний стеклоочиститель Select выключатель " B " КЗ на массу
B2188	Задний стеклоочиститель Select выключатель " E " КЗ на массу
B2190	Стекло пассажира задний Remote вверх выключатель КЗ на питание
B2194	Стекло пассажира задний Remote вниз выключатель КЗ на питание
B2195	Водителя стекло вверх/ вниз питание КЗ цепи на массу
B2196	Пассажира стекло вверх/ вниз питание КЗ цепи на массу
B2197	TV модуль Error
B2198	TrafficMaster модуль Error
B2199	VICS модуль Error
B2200	Нет связь на TV модуль (нет Fitting TV)
B2201	Нет связь с Traffic MasterModule
B2202	Нет связь на VICS модуль (нет Fitting VICS)
B2203	CD-ROM Error
B2204	GPS Antenna Connection обрыв или КЗ
B2205	GPS Receiver Error
B2206	Gyroscope Error
B2207	ECU ROM Checksum Error
B2208	Связь Link на Display и выключатель модуль Error
B2209	Interior лампа Override выключатель обрыв цепи
B2210	Interior лампа Override выключатель КЗ на массу
B2211	Низкий ОЖ лампа выход КЗ цепи на питание
B2214	Стекло пассажира передний вверх выключатель КЗ на питание
B2215	Стекло пассажира передний вниз выключатель КЗ на питание
B2219	Стекло водителя передний ток обратная связь превышен
B2220	Стекло водителя задний ток обратная связь превышен
B2221	Стекло пассажира передний ток обратная связь превышен
B2222	Стекло пассажира задний ток обратная связь превышен
B2223	Зеркало водителя Drive отказ цепи
B2224	Зеркало пассажира Drive отказ цепи
B2225	Передний Crash датчик Mount неисправность
B2226	Передний Crash датчик Internal неисправность
B2227	Передний Crash датчик водителя Communications неисправность
B2228	Подушка безопасности водителя КЗ цепи на массу - Loop # 2
B2229	Подушка безопасности пассажира КЗ цепи на массу - Loop # 2
B2230	Подушка безопасности водителя КЗ цепи на питание - Loop # 2
B2231	Подушка безопасности пассажира КЗ цепи на питание - Loop # 2
B2232	Подушка безопасности водителя обрыв цепи - Loop # 2
B2233	Подушка безопасности пассажира обрыв цепи - Loop # 2
B2234	Подушка безопасности водителя Inflator цепь сопротивление низкий на Squib - Loop # 2
B2235	Подушка безопасности пассажира Inflator цепь
B2236	Weak или Defected Electric Vehicle АКБ модуль неисправность
B2237	Vehicle сигнал indicating Park While VSS Present
B2238	Питание Cable для питание Sliding дверь Broken
B2239	Задний Cargo дверь Set выключатель Stuck (КЗ на массу)
B2240	Задний Cargo дверь Reset выключатель Stuck (КЗ на массу)
B2241	Задний Cargo дверь Lock КЗ цепи на массу
B2242	Задний Cargo дверь Unlock обрыв цепи
B2243	Водителя задний дверь Ajar обрыв цепи
B2244	Водителя Sliding дверь Ajar цепь КЗ на GND
B2245	Пассажира задний дверь Ajar обрыв цепи
B2246	Пассажира Sliding дверь Ajar цепь КЗ на GND
B2247	EV АКБ Pack температура неисправность
B2248	Heated Windshield обмотка реле отказ цепи
B2249	Head лампа обмотка реле КЗ на питание
B2250	All Doors Unlock реле отказ цепи
B2251	Parklamp выход реле водителя отказ цепи
B2252	Parklamp выход реле Dirver КЗ на питание
B2300	Сиденье водителя Memory положение Error
B2301	Сиденье пассажира Memory положение Error
B2302	Сиденье Headrest обратная связь потенциометр отказ цепи
B2303	Сиденье Headrest обратная связь потенциометр обрыв цепи
B2304	Сиденье Headrest обратная связь потенциометр КЗ цепи на питание
B2305	Сиденье Headrest обратная связь потенциометр КЗ цепи на массу
B2306	Сиденье Headrest электродвигатель Stalled
B2310	Зеркало водителя Memory положение Error
B2311	Зеркало пассажира Memory положение Error
B2312	Зеркало пассажира Horizontal обратная связь потенциометр отказ цепи
B2313	Зеркало пассажира Horizontal обратная связь потенциометр обрыв цепи
B2314	Зеркало пассажира Horizontal обратная связь потенциометр КЗ цепи на питание
B2315	Зеркало пассажира Horizontal обратная связь потенциометр КЗ цепи на массу
B2316	Зеркало пассажира Vertical обратная связь потенциометр отказ цепи
B2317	Зеркало пассажира Vertical обратная связь потенциометр обрыв цепи
B2318	Зеркало пассажира Vertical обратная связь потенциометр КЗ цепи на питание
B2319	Зеркало пассажира Vertical обратная связь потенциометр КЗ цепи на массу
B2320	Зеркало водителя Horizontal обратная связь потенциометр отказ цепи
B2321	Зеркало водителя Horizontal обратная связь потенциометр обрыв цепи
B2322	Зеркало водителя Horizontal обратная связь потенциометр КЗ цепи на питание
B2323	Зеркало водителя Horizontal обратная связь потенциометр КЗ цепи на массу
B2324	Зеркало водителя Vertical обратная связь потенциометр отказ цепи
B2325	Зеркало водителя Vertical обратная связь потенциометр обрыв цепи
B2326	Зеркало водителя Vertical обратная связь потенциометр КЗ цепи на питание
B2327	Зеркало водителя Vertical обратная связь потенциометр КЗ цепи на массу
B2328	Column Reach обратная связь потенциометр отказ цепи
B2329	Column Reach обратная связь потенциометр обрыв цепи
B2330	Column Reach обратная связь потенциометр КЗ цепи на питание
B2331	Column Reach обратная связь потенциометр КЗ цепи на массу
B2332	Column Tilt обратная связь потенциометр отказ цепи
B2333	Column Tilt обратная связь потенциометр обрыв цепи
B2334	Column Tilt обратная связь потенциометр КЗ цепи на питание
B2335	Column Tilt обратная связь потенциометр КЗ цепи на массу
B2336	Зеркало выключатель узел отказ цепи
B2337	Зеркало выключатель узел обрыв цепи
B2338	Зеркало выключатель узел КЗ цепи на питание
B2339	Зеркало выключатель узел КЗ цепи на массу
B2340	Column Reach электродвигатель Stalled
B2341	Column Tilt электродвигатель Stalled
B2342	Сиденье выключатель Reference напряжение Positive Common обрыв цепи
B2343	Сиденье выключатель Reference напряжение Positive Common питание низкое напряжение
B2344	Сиденье выключатель Reference напряжение Positive Common питание напряжение неисправность
B2345	Сиденье выключатель Reference напряжение Negative Common обрыв цепи
B2346	Зеркало выключатель Reference напряжение Positive Common обрыв цепи
B2347	Зеркало выключатель Reference напряжение Positive Common питание низкое напряжение
B2348	Зеркало выключатель Reference напряжение Positive Common питание напряжение неисправность
B2349	Зеркало выключатель Reference напряжение Negative Common обрыв цепи
B2350	Рулевое Column выключатель КЗ цепи на питание
B2351	Рулевое Column выключатель отказ цепи
B2352	Водителя Memory питание выключатель индикатор КЗ цепи на питание
B2353	Водителя зеркало питание водителя цепь КЗ масса
B2354	Водителя зеркало Horizontal/ Vertical обратная связь потенциометр обрыв цепи
B2355	Пассажира зеркало Horizontal/ Vertical обратная связь потенциометр обрыв цепи
B2357	Водителя стекло вниз ток Sense низкий отказ цепи
B2362	Remote Open/Close сигнал КЗ цепи на массу
B2363	Optical датчик система отказ
B2364	Топливо Filler дверь обрыв цепи
B2365	B-pillar питание Sliding дверь Open/Close выключатель вход Ckt КЗ на Gnd
B2366	IP питание Sliding дверь Open/Close выключатель Ckt КЗ на Gnd
B2367	Питание Sliding дверь Override выключатель вход Ckt КЗ на Gnd
B2368	Рулевое Column выключатель цепь вне диапазона
B2369	Chime выход Request Ckt КЗ на массу
B2373	LED # 1 КЗ цепи на питание
B2374	Питание Sliding Detent (Latch) отказ цепи
B2380	Подогреватель ОЖ Temp датчик цепь КЗ на GND
B2381	Подогреватель ОЖ Temp датчик обрыв цепи
B2384	Audio Reverse Aid Mute вход Ckt отказ
B2385	Audio Navigation Mute вход Ckt отказ
B2401	Audio Tape Deck Mechanism неисправность
B2402	Audio CD/DJ Thermal Shutdown неисправность
B2403	Audio CD/DJ Internal неисправность
B2404	Audio рулевое колесо выключатель цепь неисправность
B2405	Audio Single-Disc CD Player Thermal Shutdown неисправность
B2406	Audio Single-Disc CD Player Internal неисправность
B2416	Климат управление рециркуляция привод Out Limits
B2425	Remote Keyless Entry Out Synchronization
B2426	Пассажира датчик солнечного излучения обрыв цепи
B2427	Пассажира датчик солнечного излучения КЗ цепи на массу
B2428	А/С Post подогреватель датчик # 2 отказ цепи
B2429	А/С Post подогреватель датчик # 2 КЗ цепи на массу
B2431	Transponder Programming Failed
B2432	Drivers ремень безопасности Buckle выключатель обрыв цепи
B2433	Drivers ремень безопасности Buckle выключатель КЗ цепи на питание
B2434	Drivers ремень безопасности Buckle выключатель КЗ цепи на массу
B2435	Drivers ремень безопасности Buckle выключатель сопротивление вне диапазона
B2436	Passengers ремень безопасности Buckle выключатель обрыв цепи
B2437	Passengers ремень безопасности Buckle выключатель КЗ цепи на питание
B2438	Passengers ремень безопасности Buckle выключатель КЗ цепи на массу
B2439	Passengers ремень безопасности Buckle выключатель сопротивление вне диапазона
B2440	Сторона пассажира
B2441	Сторона водителя
B2442	Intrusion датчик неисправность
B2443	Powertrain производительность Mode выключатель отказ цепи
B2444	Сторона водителя Crash датчик Internal неисправность
B2445	Сторона пассажира Crash датчик Internal неисправность
B2446	RESCU/VEMS вход обрыв цепи
B2447	RESCU/VEMS вход КЗ цепи на питание
B2448	RESCU/VEMS вход КЗ цепи на массу
B2449	Aux подогреватель Glow Plug КЗ цепи на массу
B2450	Aux подогреватель Glow Plug обрыв цепи
B2451	Aux подогреватель топливный насос КЗ цепи на массу
B2452	Aux подогреватель топливный насос обрыв цепи
B2453	Aux подогреватель Blower Fan КЗ цепи на массу
B2454	Aux подогреватель Blower Fan обрыв цепи
B2455	Aux подогреватель Blower Faulted
B2456	Aux подогреватель ОЖ датчик КЗ цепи на массу
B2457	Aux подогреватель ОЖ датчик обрыв цепи
B2458	Aux подогреватель Overheat датчик КЗ цепи на массу
B2459	Aux подогреватель Overheat датчик обрыв цепи
B2460	Aux подогреватель Flame датчик КЗ цепи на массу
B2461	Aux подогреватель Flame датчик обрыв цепи
B2462	Aux подогреватель Flame Out неисправность
B2463	Aux подогреватель Overheat неисправность
B2464	Aux подогреватель Start Time превышен
B2465	Aux подогреватель Start Counter Overrun/System Locked (same as ниже ?)
B2466	Aux подогреватель Overheat Counter Overrun/System Locked
B2467	Aux подогреватель Cool вниз Time превышен (may be con на a453-5)
B2468	Aux подогреватель ОЖ насос КЗ цепи на массу
B2469	Aux подогреватель ОЖ насос обрыв цепи
B2470	Interior управление вентилятором КЗ цепи на массу
B2471	Interior управление вентилятором обрыв цепи
B2472	Fog лампа выключатель отказ
B2473	Пассажира дверь Disarm выключатель ckt КЗ на массу
B2474	Пассажира дверь Lock выключатель цепь Shorted на масса
B2475	Пассажира дверь Unlock выключатель цепь Shorted на масса
B2476	RADIO PRESENT выключатель Ckt отказ
B2477	Модуль конфигурация отказ
B2478	ANTI THEFT вход сигнал КЗ на массу
B2479	Тормоз PARK выключатель КЗ цепи на массу
B2480	LF CORNER лампа выход Ckt КЗ на питание
B2481	Convertible Top Up/Down выключатель неисправность
B2482	RF CORNER лампа выход Ckt КЗ на питание
B2483	Enable сигнал обрыв цепи
B2484	Disable сигнал КЗ на массу
B2485	LF сторона REPEATER лампа выход Ckt КЗ на питание
B2487	RF сторона REPEATER лампа выход Ckt КЗ на питание
B2489	UNDERHOOD лампа выход отказ цепи
B2490	UNDERHOOD лампа выход КЗ цепи на питание
B2491	RF PARK лампа выход КЗ цепи на питание
B2492	Already запрограммированных (Test Mode DTC Only ! ! !)
B2493	LF PARK лампа выход КЗ цепи на питание
B2494	ANTI THEFT клаксон выход цепь КЗ на Batt
B2495	ANTI THEFT клаксон выход отказ цепи
B2496	ANTI THEFT клаксон выход цепь КЗ на Gnd
B2499	COURTESY лампа выход отказ
B2500	COURTESY лампа выход Ckt КЗ на питание
B2501	LF лампа низкий BEAM отказ цепи
B2502	LF лампа низкий BEAM КЗ цепи на питание
B2503	RF лампа низкий BEAM отказ цепи
B2504	RF лампа низкий BEAM КЗ цепи на питание
B2505	LF лампа высокий BEAM отказ цепи
B2506	LF лампа высокий BEAM КЗ цепи на питание
B2507	RF лампа высокий BEAM отказ цепи
B2508	RF лампа высокий BEAM КЗ цепи на питание
B2509	Задний Fog лампа выключатель отказ цепи
B2510	Main Blower электродвигатель реле КЗ цепи на питание
B2511	Клаксон выход реле КЗ цепи на питание
B2512	Передний Fog лампа реле Ckt КЗ на питание
B2513	Blower (Fan) отказ цепи
B2514	Blower (Fan) цепь КЗ на питание АКБ
B2515	Подогреватель Blower реле отказ цепи
B2516	Blower управление отказ цепи
B2517	Аварийный питание Off система Faulted
B2518	Compressor Overtemp неисправность
B2519	Высокий Mount Stop лампа отказ цепи
B2520	Высокий Mount Stop лампа КЗ цепи на питание
B2523	License лампа отказ цепи
B2524	License лампа КЗ цепи на питание
B2525	Левый задний Backup лампа отказ цепи
B2526	Левый задний Backup лампа КЗ цепи на питание
B2527	Левый задний Stop лампа отказ цепи
B2528	Левый задний Stop лампа КЗ цепи на питание
B2529	Левый задний Turn лампа отказ цепи
B2530	Левый задний Turn лампа КЗ цепи на питание
B2531	Правый задний Backup лампа отказ цепи
B2532	Правый задний Backup лампа КЗ цепи на питание
B2533	Правый задний Stop лампа отказ цепи
B2534	Правый задний Stop лампа КЗ цепи на питание
B2535	Правый задний Turn лампа отказ цепи
B2536	Правый задний Turn лампа КЗ цепи на питание
B2539	Aux А/С Mode положение Reference КЗ цепи на массу
B2540	Aux А/С Mode положение Reference КЗ цепи на питание
B2543	Aux А/С управление выключатель Reference КЗ цепи на массу
B2544	Aux А/С управление выключатель Reference КЗ цепи на питание
B2545	Система питание реле КЗ цепи на питание
B2546	Система питание реле отказ цепи
B2550	Лампа DOME выход КЗ цепи на массу
B2553	Disable сигнал выход КЗ цепи на питание
B2554	Лампа DOME выход отказ цепи
B2555	Лампа DOME выход КЗ цепи на питание
B2556	Enable сигнал КЗ цепи на питание
B2557	Левый питание Sliding дверь Open/Close выход КЗ цепи на питание
B2558	Правый питание Sliding дверь Open/Close выход КЗ цепи на питание
B2559	Aux А/С Blower электродвигатель реле КЗ цепи на питание
B2560	Aux А/С Blower электродвигатель реле КЗ цепи на массу
B2561	Aux А/С Blower скорость 1 отказ цепи
B2562	Aux А/С Blower скорость 1 КЗ цепи на массу
B2563	Aux А/С Blower скорость 2 отказ цепи
B2564	Aux А/С Blower скорость 2 КЗ цепи на массу
B2565	Правый Tail лампа отказ цепи
B2566	Правый Tail лампа КЗ цепи на массу
B2567	Reverse зеркало выход отказ цепи
B2568	Reverse зеркало выход КЗ цепи на массу
B2569	Liftgate Disarm выключатель КЗ цепи на массу
B2570	Правый лампа Outage сигнал КЗ цепи на массу
B2571	Левый лампа Outage сигнал КЗ цепи на массу
B2580	Aux Blower Sense выключатель отказ цепи
B2581	Пассажира сиденье Occupant Detection КЗ цепи на массу
B2582	Пассажира сиденье Occupant Detection обрыв цепи
B2583	Child сиденье Detection КЗ цепи на массу
B2584	Child сиденье Detection обрыв цепи
B2585	Anti Theft вход сигнал КЗ цепи на питание
B2586	Headlamp Mode Select отказ цепи
B2587	Пассажира сиденье Occupant Detection КЗ цепи на питание
B2588	Child сиденье Detection КЗ цепи на питание
B2589	Unexpected дверь Reversal During Close
B2590	Vehicle Park/Speed сигнал отказ цепи
B2591	Detent сигнал отсутствует During Unlatch
B2592	PSD Not Fully Closed (модуль Commanded Successfully)
B2593	Питание Sliding дверь Opened During модуль Close Command
B2594	Нет Movement обнаружено After an Unlatch During питание обрыв
B2595	Anti Theft вход сигнал отказ цепи
B2596	Headlamp Aim выход реле КЗ цепи на питание
B2597	Headlamp Aim выход реле отказ цепи
B2598	Headlamp реле отказ цепи
B2599	Tailgate Release обрыв цепи
B2600	Double Locking дверь электродвигатель Frozen
B2601	Нет Latch сигнал Sensed на Closing и дверь Reversed
B2602	Отсутствует Latch сигнал During питание Sliding дверь Unlatch
B2603	PSD Not Fully Closed During Self-Test
B2604	Питание Sliding дверь On/Off выключатель обрыв цепи
B2605	Disable сигнал обрыв цепи
B2606	А/С датчик температуры вне диапазона
C1091	Скорость колесо датчик All Coherency отказ
C1095	ABS Hydraulic насос электродвигатель отказ цепи
C1096	ABS Hydraulic насос электродвигатель обрыв цепи
C1097	ABS Hydraulic насос электродвигатель КЗ цепи на массу
C1098	ABS Hydraulic насос электродвигатель КЗ цепи на питание
C1100	ABS насос выключатель отказ цепи
C1101	ABS Hydraulic клапан отказ цепи
C1102	ABS ускорение выключатель отказ цепи
C1103	ABS Hydraulic выключатель тормоза отказ цепи
C1104	Traction управление Active лампа - КЗ цепи на питание
C1105	Traction управление Disable лампа - КЗ цепи на питание
C1106	Traction управление Disable выключатель КЗ цепи на питание
